PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,YEAR,MONTH
0.00,19.00,KAH,Kenmore Air Harbor,KAH,16233,YWH,11646,FBS,2023,2
0.00,29.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,15024,STT,11519,EIS,2023,1
0.00,29.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,15024,STT,11519,EIS,2023,2
0.00,29.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,15024,STT,11519,EIS,2023,3
0.00,54.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,15027,STX,11519,EIS,2023,1
0.00,54.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,15027,STX,11519,EIS,2023,2
0.00,54.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,15027,STX,11519,EIS,2023,3
0.00,63.00,2LQ,Tropic Ocean Airways LLC,2LQ,13746,NSB,13303,MIA,2023,2
0.00,63.00,AMQ,Ameristar Air Cargo,AMQ,10792,BUF,16078,YHM,2023,3
0.00,70.00,KAH,Kenmore Air Harbor,KAH,16233,YWH,12652,KEH,2023,3
0.00,73.00,KAH,Kenmore Air Harbor,KAH,14004,PAE,16263,YYJ,2023,3
0.00,82.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,16166,YQG,11042,CLE,2023,2
0.00,84.00,2LQ,Tropic Ocean Airways LLC,2LQ,11697,FLL,15860,WTD,2023,2
0.00,84.00,2LQ,Tropic Ocean Airways LLC,2LQ,15860,WTD,11697,FLL,2023,2
0.00,93.00,KAH,Kenmore Air Harbor,KAH,16263,YYJ,10559,BFI,2023,1
0.00,96.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,14843,SJU,11519,EIS,2023,1
0.00,96.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,14843,SJU,11519,EIS,2023,2
0.00,96.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,14843,SJU,11519,EIS,2023,3
0.00,108.00,KAH,Kenmore Air Harbor,KAH,12652,KEH,16229,YVR,2023,3
0.00,112.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,14843,SJU,13660,NGD,2023,2
0.00,114.00,KAH,Kenmore Air Harbor,KAH,12652,KEH,11215,CXH,2023,2
0.00,118.00,KLQ,Kalitta Charters II,KLQ,11042,CLE,16252,YXU,2023,1
0.00,122.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,16229,YVR,10559,BFI,2023,2
0.00,126.00,9K,Cape Air,9K,10444,AXA,15024,STT,2023,1
0.00,126.00,9K,Cape Air,9K,15024,STT,10444,AXA,2023,1
0.00,133.00,KLQ,Kalitta Charters II,KLQ,16091,YIP,16252,YXU,2023,1
0.00,142.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,16518,YCE,10792,BUF,2023,1
0.00,148.00,2LQ,Tropic Ocean Airways LLC,2LQ,11697,FLL,10916,CCZ,2023,2
0.00,165.00,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,5V,13061,LRD,14886,SLW,2023,2
0.00,165.00,AMQ,Ameristar Air Cargo,AMQ,14886,SLW,13061,LRD,2023,2
0.00,165.00,KLQ,Kalitta Charters II,KLQ,13061,LRD,14886,SLW,2023,3
0.00,165.00,KLQ,Kalitta Charters II,KLQ,14886,SLW,13061,LRD,2023,1
0.00,165.00,KLQ,Kalitta Charters II,KLQ,14886,SLW,13061,LRD,2023,3
0.00,165.00,U7,USA Jet Airlines Inc.,U7,14886,SLW,13061,LRD,2023,1
0.00,167.00,GFQ,Gulf And Caribbean Cargo,GFQ,10732,BQN,14739,SDQ,2023,1
0.00,167.00,GFQ,Gulf And Caribbean Cargo,GFQ,10732,BQN,14739,SDQ,2023,2
0.00,167.00,GFQ,Gulf And Caribbean Cargo,GFQ,10732,BQN,14739,SDQ,2023,3
0.00,167.00,GFQ,Gulf And Caribbean Cargo,GFQ,14739,SDQ,10732,BQN,2023,1
0.00,167.00,GFQ,Gulf And Caribbean Cargo,GFQ,14739,SDQ,10732,BQN,2023,2
0.00,167.00,GFQ,Gulf And Caribbean Cargo,GFQ,14739,SDQ,10732,BQN,2023,3
0.00,170.00,2LQ,Tropic Ocean Airways LLC,2LQ,14027,PBI,14682,SAQ,2023,3
0.00,182.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,11697,FLL,13605,NAS,2023,2
0.00,182.00,UA,United Air Lines Inc.,UA,11697,FLL,13605,NAS,2023,2
0.00,184.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,13303,MIA,13605,NAS,2023,3
0.00,184.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,13605,NAS,13303,MIA,2023,3
0.00,184.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,13303,MIA,13605,NAS,2023,2
0.00,184.00,GCA,"Global Crossing Airlines, Inc.",GCA,13303,MIA,13605,NAS,2023,3
0.00,184.00,GCA,"Global Crossing Airlines, Inc.",GCA,13605,NAS,13303,MIA,2023,3
0.00,184.00,M6,Amerijet International,M6,13303,MIA,13605,NAS,2023,2
0.00,186.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,13898,OPF,13605,NAS,2023,2
0.00,186.00,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,5V,13898,OPF,13605,NAS,2023,1
0.00,186.00,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,5V,13898,OPF,13605,NAS,2023,2
0.00,187.00,2LQ,Tropic Ocean Airways LLC,2LQ,13605,NAS,11827,FXE,2023,3
0.00,192.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,14843,SJU,15084,SXM,2023,1
0.00,192.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,14843,SJU,15084,SXM,2023,2
0.00,192.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,14843,SJU,15084,SXM,2023,3
0.00,192.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,14843,SJU,15084,SXM,2023,1
0.00,194.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,14843,SJU,10444,AXA,2023,2
0.00,194.00,AMQ,Ameristar Air Cargo,AMQ,16078,YHM,16091,YIP,2023,3
0.00,194.00,KAH,Kenmore Air Harbor,KAH,14004,PAE,16115,YLW,2023,3
0.00,199.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,13605,NAS,14027,PBI,2023,2
0.00,199.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,13605,NAS,14027,PBI,2023,1
0.00,199.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,14027,PBI,13605,NAS,2023,2
0.00,203.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,13289,MHH,13898,OPF,2023,3
0.00,207.00,5X,United Parcel Service,5X,11637,FAR,16232,YWG,2023,1
0.00,207.00,5X,United Parcel Service,5X,11637,FAR,16232,YWG,2023,2
0.00,207.00,5X,United Parcel Service,5X,11637,FAR,16232,YWG,2023,3
0.00,207.00,FX,Federal Express Corporation,FX,11637,FAR,16232,YWG,2023,1
0.00,207.00,FX,Federal Express Corporation,FX,11637,FAR,16232,YWG,2023,2
0.00,207.00,FX,Federal Express Corporation,FX,11637,FAR,16232,YWG,2023,3
0.00,207.00,FX,Federal Express Corporation,FX,16232,YWG,11637,FAR,2023,1
0.00,207.00,FX,Federal Express Corporation,FX,16232,YWG,11637,FAR,2023,2
0.00,207.00,FX,Federal Express Corporation,FX,16232,YWG,11637,FAR,2023,3
0.00,214.00,KAH,Kenmore Air Harbor,KAH,16115,YLW,10559,BFI,2023,3
0.00,215.00,GFQ,Gulf And Caribbean Cargo,GFQ,11187,CUU,11540,ELP,2023,1
0.00,215.00,GFQ,Gulf And Caribbean Cargo,GFQ,11187,CUU,11540,ELP,2023,2
0.00,215.00,GFQ,Gulf And Caribbean Cargo,GFQ,11187,CUU,11540,ELP,2023,3
0.00,215.00,GFQ,Gulf And Caribbean Cargo,GFQ,11540,ELP,11187,CUU,2023,1
0.00,215.00,GFQ,Gulf And Caribbean Cargo,GFQ,11540,ELP,11187,CUU,2023,2
0.00,215.00,GFQ,Gulf And Caribbean Cargo,GFQ,11540,ELP,11187,CUU,2023,3
0.00,215.00,U7,USA Jet Airlines Inc.,U7,11540,ELP,11187,CUU,2023,3
0.00,220.00,2LQ,Tropic Ocean Airways LLC,2LQ,11534,ELH,11697,FLL,2023,2
0.00,220.00,2LQ,Tropic Ocean Airways LLC,2LQ,11534,ELH,11697,FLL,2023,3
0.00,223.00,2LQ,Tropic Ocean Airways LLC,2LQ,11697,FLL,12080,HBI,2023,2
0.00,224.00,FX,Federal Express Corporation,FX,10792,BUF,16149,YOW,2023,1
0.00,224.00,FX,Federal Express Corporation,FX,10792,BUF,16149,YOW,2023,2
0.00,224.00,FX,Federal Express Corporation,FX,10792,BUF,16149,YOW,2023,3
0.00,224.00,FX,Federal Express Corporation,FX,16149,YOW,10792,BUF,2023,1
0.00,224.00,FX,Federal Express Corporation,FX,16149,YOW,10792,BUF,2023,2
0.00,224.00,FX,Federal Express Corporation,FX,16149,YOW,10792,BUF,2023,3
0.00,228.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,14027,PBI,11534,ELH,2023,1
0.00,230.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",1YQ,14843,SJU,14849,SKB,2023,1
